 Epoch   Step       Loss           LR    Temps
--------------------------------------------------
     1     10     7.4384     5.00e-05      176s
     1     20     7.2150     1.00e-04      344s
     1     30     6.3739     1.50e-04      510s
     1     40     5.6366     2.00e-04      679s
     1     50     3.9059     2.00e-04      846s
     1     60     2.7363     1.99e-04     1014s
     2     70     1.9798     1.97e-04     1184s
     2     80     2.0477     1.94e-04     2642s
     2     90     1.6916     1.91e-04     2815s
     2    100     1.4520     1.88e-04     2988s
     2    110     1.6787     1.83e-04     3159s
     2    120     1.3640     1.78e-04     3332s
     2    130     1.3841     1.73e-04     3488s
     3    140     1.6314     1.67e-04     3646s
     3    150     1.7831     1.60e-04     3801s
     3    160     1.3598     1.53e-04     3966s
     3    170     2.2449     1.46e-04     4123s
     3    180     1.3829     1.38e-04     4282s
     3    190     2.0312     1.31e-04     4447s
     3    200     1.0786     1.22e-04     4603s
