# nodes.csv — nœuds de la membrane sémantique MTTV-FLP (phase 4A).
# Généré par semantic/export.py — sig:0x4D5454562D464C50
# Encodage multi-valeurs : layers séparés par ';' ; source_refs =
#   'path|kind|locator|hash' séparés par ';' (champ vide si null).
# status : status_class (concept), statut (anomalie), pending (planifié).
node_id,entity_kind,label,status,layers,resolution_status,flag,source_refs,provenance_ref,canonical_path
mttvflp:anomaly/138-139-lignes,anomaly,Anomalie 138/139 lignes (dataset.jsonl),documented,,,true,dataset.jsonl|primary|lignes 1-139|92fb7dd053d275075b4814ea67ef7decb5b147c8ee9e4199b89bffa7f6847835;CHRONOLOGIE_MTTV_FLP.md|primary|ligne 63|7060188c14d2df4af3db29eed27ccef2faf730cff189a0db9f82bb2466dedbc4,,semantic/anomalies/anomalie-138-139-lignes.json
mttvflp:artifact/chronologie-mttv-flp,artifact,mttvflp:artifact/chronologie-mttv-flp,real,,resolved,false,CHRONOLOGIE_MTTV_FLP.md|primary|ligne 1|7060188c14d2df4af3db29eed27ccef2faf730cff189a0db9f82bb2466dedbc4,mttvflp:provenance/artifact-chronologie-mttv-flp,
mttvflp:artifact/dataset.jsonl,artifact,mttvflp:artifact/dataset.jsonl,real,,resolved,false,dataset.jsonl|primary|lignes 1-139|92fb7dd053d275075b4814ea67ef7decb5b147c8ee9e4199b89bffa7f6847835,mttvflp:provenance/artifact-dataset-jsonl,
mttvflp:concept/anthropo-gaien,concept,Anthropo-Gaïen,metaphor,theoretical_narrative;pedagogical_artifact,,false,mttv_fundamentals.html|primary|ligne 487|224b876c20b73195b341e38b3c67534057446b623bbdbc786648ac21ef669bf3;plans/mttv_flp_core_2026_manifest.json|primary|lignes 75 et 464|cba642f33d29d7951a618409cbf65bc323b501864c8bdedc9bdf34c94505d53d,,semantic/concepts/anthropo-gaien.json
mttvflp:concept/anthropo-solipsiste,planned,anthropo-solipsiste,pending,,pending_target_entity,true,plans/28_dimensions_analysis.md|primary|ligne 27 (dimension F)|3c74574be7ce9bcb203d5d0b6f55a52b8c645f0e02546d82ebd321ae1fc45203,,
mttvflp:concept/b-gate-poreux,concept,B-gate poreux,,theoretical_narrative;code,,false,mttv_core/README.md|primary|ligne 20|8b909a54c0f4cdc0ff6b9b57a202f8262d3810d0dee8d4959e3ac53c90c06cfd;mttv_core/bgate.py|implementation|Classe BGate|7945c84fc2e38a4b537206889ee53070449078ee3de0bbf7fd29568626b93db9;docs/dictionnaire_transcalaire.md|reformulation|ligne 15|0911b2dcbecd6c00c56509a58a25f17e1b6df86a36566e7bfd4f85d7be39e97c,,semantic/concepts/b-gate-poreux.json
mttvflp:concept/efficacite-non-top-down,concept,Efficacité non top-down,hypothesis,theoretical_narrative,,false,mttv-flp-mpvr-glocal/mpvr-glocal/README.md|primary|lignes 31-32|8f06eeee0e402f1705d430c801bf76324976cb91c33a0301661c37ac0ab78571;mttv-flp-mpvr-glocal/docs/01_sous_optimalite.md|primary|ligne 5|e2c52755df83b35b2ff0bab8c133f4552fdef69c4bfc7966c81c0e14505b4d57,,semantic/concepts/efficacite-non-top-down.json
mttvflp:concept/etats-tetravalents-sp3,concept,États tétravalents sp³ (T⁴),,theoretical_narrative;code;application,,false,"mttv_core/README.md|primary|lignes 18, 22-29|8b909a54c0f4cdc0ff6b9b57a202f8262d3810d0dee8d4959e3ac53c90c06cfd;mttv_core/matrices.py|implementation|EtatTetravalent / base tétraédrique sp³|9333d9d38f5b9e49c83eb096c6e5582c73c0f1d204bd5e99560fd7e0f56c1517;mttv_flp_core_2026/viability_criteria.json|primary|clé tetravalence|fded8df14db4d581515efcc93fda6166e2fc52eda943604a5af5f34eebac1219",,semantic/concepts/etats-tetravalents-sp3.json
mttvflp:concept/gating,concept,Gating,,theoretical_narrative;code;application,,false,docs/dictionnaire_transcalaire.md|reformulation|lignes 15 et 17|0911b2dcbecd6c00c56509a58a25f17e1b6df86a36566e7bfd4f85d7be39e97c;mttv_core/bgate.py|implementation|Classe BGate|7945c84fc2e38a4b537206889ee53070449078ee3de0bbf7fd29568626b93db9,,semantic/concepts/gating.json
mttvflp:concept/hydrogene-substrat-minimal,concept,Hydrogène comme substrat minimal,,theoretical_narrative,,false,mttv_flp_core_2026/viability_criteria.json|primary|clé canonical_sequence|fded8df14db4d581515efcc93fda6166e2fc52eda943604a5af5f34eebac1219;plans/MTTV_FLP_CORE_2026_MANIFESTO.md|primary|ligne 53|e5fd51d8f7f45de7b8e69f763de605ecc99fd0fc5bdd73c7bdd278d896d37548;README_PHILOSOPHY.md|primary|lignes 40-41|a8c120772f2fab53b7bcdbb7bdc2c9390dad51730f3eebd8bceaa88c41d467c6,,semantic/concepts/hydrogene-substrat-minimal.json
mttvflp:concept/invariant,concept,Invariant,,theoretical_narrative;code;application,,false,mttv_core/README.md|primary|lignes 99-110|8b909a54c0f4cdc0ff6b9b57a202f8262d3810d0dee8d4959e3ac53c90c06cfd;mttv_flp_core_2026/5 Benchmark ultime MTTV-FLP — MPVR_SCS_section.md|primary|point 8|c9069fbc7ea955889cf3387abf36b96c6d5051996b5d9e81d14eb215f3dc6ddb;docs/verifier_invariants.py|implementation|script (20 vérifications)|447ed0e645962b70ab352dc3db851c88e3b491b1bb8273e322fe54e15b5b9e4b;docs/notebook_mttv_core_invariants.ipynb|implementation|notebook (8 invariants structurels)|e2a9eae4d5f60f0ea5aac230679685a7ed99521d4461a0f999fa15003e19c410,,semantic/concepts/invariant.json
mttvflp:concept/logique-tetravalente,planned,logique-tetravalente,pending,,pending_target_entity,true,mttv_flp_core_2026/viability_criteria.json|primary|clé tetravalence|fded8df14db4d581515efcc93fda6166e2fc52eda943604a5af5f34eebac1219,,
mttvflp:concept/mpvr,concept,MPVR,established,theoretical_narrative;code;application,,false,mttv_flp_core_2026/viability_criteria.json|primary|clé mpvr_scs.mpvr|fded8df14db4d581515efcc93fda6166e2fc52eda943604a5af5f34eebac1219;mttv_flp_core_2026/5 Benchmark ultime MTTV-FLP — MPVR_SCS_section.md|primary|point 8.1|c9069fbc7ea955889cf3387abf36b96c6d5051996b5d9e81d14eb215f3dc6ddb;mttv_core/operators.py|implementation|routeur_polyfocal|ffb288c5c164a14bbb7decbc2fdb80932a4c9e9a4337f863e922781b5c60365d;mttv-flp-mpvr-glocal/mpvr-glocal/README.md|primary|lignes 31-34|8f06eeee0e402f1705d430c801bf76324976cb91c33a0301661c37ac0ab78571;mttv-flp-mpvr-glocal/src/mttv_mpvr_quorum.py|implementation|module quorum MPVR|efb23933831bcbd93844d6ef848c1efd22d5d1f6a009fd52707f1216a12eddd8,,semantic/concepts/mpvr.json
mttvflp:concept/mttv,concept,MTTV,,theoretical_narrative,,false,article_mttv_flp.md|primary|ligne 11|11b7c6d7759b5b7554e0995c177668ecbbada3680c2a773162ef81a022ba4492;CHRONOLOGIE_MTTV_FLP.md|primary|ligne 4|7060188c14d2df4af3db29eed27ccef2faf730cff189a0db9f82bb2466dedbc4;mttv_flp_core_2026/README.md|primary|ligne 14|517d8ac7880dcd55141bc26aa54a1577b4dd0876482784bbb2971bcb23ca52db;dataset_card.md|primary|ligne 78|5261cf89421a84a9e21496f4a856bfd1672afb00533f01ec4c06ff8df406a186,,semantic/concepts/mttv.json
mttvflp:concept/mttv-expansion-theorique-transductif,concept,Modèle Théorique Transductif du Vivant,,,resolved,true,article_mttv_flp.md|primary|ligne 11|11b7c6d7759b5b7554e0995c177668ecbbada3680c2a773162ef81a022ba4492;mttv_core/README.md|primary|ligne 3|8b909a54c0f4cdc0ff6b9b57a202f8262d3810d0dee8d4959e3ac53c90c06cfd;mttv_flp_core_2026/README.md|primary|ligne 14|517d8ac7880dcd55141bc26aa54a1577b4dd0876482784bbb2971bcb23ca52db,mttvflp:provenance/concept-mttv-expansion-theorique,
mttvflp:concept/mttv-expansion-transcalaire,concept,Modèle Transducteur Transcalaire du Vivant,,,resolved,true,CHRONOLOGIE_MTTV_FLP.md|primary|ligne 4|7060188c14d2df4af3db29eed27ccef2faf730cff189a0db9f82bb2466dedbc4;dataset_card.md|primary|ligne 78|5261cf89421a84a9e21496f4a856bfd1672afb00533f01ec4c06ff8df406a186;mttv-flp-mpvr-glocal/mpvr-glocal/README.md|primary|ligne 31|8f06eeee0e402f1705d430c801bf76324976cb91c33a0301661c37ac0ab78571,mttvflp:provenance/concept-mttv-expansion-transcalaire,
mttvflp:concept/operateur-sigma,concept,Opérateur Σ (singularité),,theoretical_narrative;code,,false,mttv_core/README.md|primary|ligne 19 et lignes 31-41|8b909a54c0f4cdc0ff6b9b57a202f8262d3810d0dee8d4959e3ac53c90c06cfd;mttv_core/operators.py|implementation|operateur_sigma / HorlogeSigmaAperiodique|ffb288c5c164a14bbb7decbc2fdb80932a4c9e9a4337f863e922781b5c60365d;PREPRINT_SPEC_048.md|primary|preprint SPEC-048|45ee4f1e88dae216d446fd703d5e94e7fdf1932ca426c0b275c65cd5cdeb201e;docs/dictionnaire_transcalaire.md|reformulation|ligne 26|0911b2dcbecd6c00c56509a58a25f17e1b6df86a36566e7bfd4f85d7be39e97c,,semantic/concepts/operateur-sigma.json
mttvflp:concept/pipeline-encodeur-gating-decodeur,concept,Pipeline encodeur → gating → décodeur,metaphor,application,,false,docs/dictionnaire_transcalaire.md|reformulation|ligne 17|0911b2dcbecd6c00c56509a58a25f17e1b6df86a36566e7bfd4f85d7be39e97c,,semantic/concepts/pipeline-encodeur-gating-decodeur.json
mttvflp:concept/quorum-poreux,concept,Quorum poreux,,code;theoretical_narrative,,false,CHRONOLOGIE_MTTV_FLP.md|primary|ligne 93|7060188c14d2df4af3db29eed27ccef2faf730cff189a0db9f82bb2466dedbc4;mttv-flp-mpvr-glocal/src/mttv_mpvr_quorum.py|implementation|module quorum|efb23933831bcbd93844d6ef848c1efd22d5d1f6a009fd52707f1216a12eddd8;docs/dictionnaire_transcalaire.md|reformulation|ligne 24|0911b2dcbecd6c00c56509a58a25f17e1b6df86a36566e7bfd4f85d7be39e97c;mttv-flp-mpvr-glocal/src/mttv_mpvr_quorum.py|implementation|module quorum poreux (MicroQuorumPoreux)|efb23933831bcbd93844d6ef848c1efd22d5d1f6a009fd52707f1216a12eddd8,,semantic/concepts/quorum-poreux.json
mttvflp:concept/quorum-sensing,concept,Quorum sensing,,theoretical_narrative;application,,false,docs/dictionnaire_transcalaire.md|reformulation|ligne 24|0911b2dcbecd6c00c56509a58a25f17e1b6df86a36566e7bfd4f85d7be39e97c;plans/resume_mttv_flp_hal.md|primary|ligne 147|b159dcd617b2c183b2f0b11ce864965556d912c0b6841d4e30b5efb1024b3add;plans/28_dimensions_analysis.md|primary|ligne 29|3c74574be7ce9bcb203d5d0b6f55a52b8c645f0e02546d82ebd321ae1fc45203,,semantic/concepts/quorum-sensing.json
mttvflp:concept/quorum-sensing-biologique,concept,Quorum sensing (mécanisme biologique),,theoretical_narrative;application,,false,phase5-new-seeds/corpus_reseaux_haute_resilience.md|primary|lignes 15-16|4234e6e6ece55b9070b652c60517a2c9fea33d8b918d5f3881b26a8c7e38453b;mttv_fundamentals.html|reformulation|ligne 487|224b876c20b73195b341e38b3c67534057446b623bbdbc786648ac21ef669bf3,,semantic/concepts/quorum-sensing-biologique.json
mttvflp:concept/routage-transductif,concept,Routage transductif,,application;code;theoretical_narrative,,false,docs/white_paper_benchmark_echelle.md|primary|ligne 11|79b0508df05348d1947bd5ba5f0977714988cf9d2f14872a93c3a1eff47f9681;mttv_core/operators.py|implementation|routeur_polyfocal|ffb288c5c164a14bbb7decbc2fdb80932a4c9e9a4337f863e922781b5c60365d;phase5-new-seeds/corpus_reseaux_haute_resilience.md|reformulation|lignes 22-31|4234e6e6ece55b9070b652c60517a2c9fea33d8b918d5f3881b26a8c7e38453b,,semantic/concepts/routage-transductif.json
